,Missing_Count,Missing_Percent
Rank,0,0.0
NCT Number,0,0.0
Title,0,0.0
Acronym,9,18.0
Status,0,0.0
Study Results,0,0.0
Conditions,0,0.0
Interventions,3,6.0
Outcome Measures,0,0.0
Sponsor/Collaborators,0,0.0
Gender,0,0.0
Age,0,0.0
Phases,30,60.0
Enrollment,0,0.0
Funded Bys,0,0.0
Study Type,0,0.0
Study Designs,0,0.0
Other IDs,0,0.0
Start Date,0,0.0
Primary Completion Date,0,0.0
Completion Date,0,0.0
First Posted,0,0.0
Results First Posted,50,100.0
Last Update Posted,0,0.0
Locations,2,4.0
Study Documents,49,98.0
URL,0,0.0
